Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
British Virgin Islands,net consumption,Central & South America,0.02046,0.02232,0.02325,0.02232,0.02511,0.02697,0.030690000000000002,0.034409999999999996,0.037200000000000004,0.038130000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.039060000000000004,0.03,0.028095237999999995,0.027,0.031000000000000003,0.031000000000000003,0.0875,0.09480000000000001,0.0904,0.09820000000000001,0.131,0.168111,0.160661,0.165961,0.168161,0.175229,0.17502800000000002,0.177478,0.121208,0.117858,0.117798,0.10886238000000001,0.11726962100000002
Brunei,net consumption,Asia & Oceania,0.424,0.45899999999999996,0.51,0.653,0.749,0.819,0.867,0.8919999999999999,0.9979999999999999,1.038,1.11,1.178,1.237,1.39,1.515,1.7790000000000001,1.953,2.234,2.3240000000000003,2.26,2.3614200000000003,2.11726,2.1989400000000003,2.60754,2.9461600000000003,2.8941600000000003,2.92412,3.0263,3.05362,3.17728,3.19648,3.2326200000000003,3.45132,3.729,3.94676,3.67812,3.7708600000000003,3.4267000000000003,3.55548,4.14014,3.963896567,4.245993947
Bulgaria,net consumption,Europe,33.232,34.575,36.87100000000001,38.50000000000001,40.172999999999995,39.663,39.141,40.876999999999995,41.992000000000004,42.68,38.786,33.504999999999995,29.856999999999996,30.234999999999992,30.275500000000005,33.218,34.733,30.065999999999995,30.012,27.362,27.4082,27.331359999999997,28.279479999999996,28.01322,27.82862,28.781399999999994,30.038360000000008,31.084731999999995,31.710579999999997,30.04748,30.183720000000005,31.67922,31.147100000000002,30.390219999999996,30.861500000000007,29.719048999999995,30.268008000000002,31.474095,30.5964996,30.1619512,29.6623552,30.321328257000005
Burkina Faso,net consumption,Africa,0.09114,0.10044,0.10695,0.10881,0.10509,0.10695,0.11345999999999999,0.12369000000000001,0.13299,0.14229,0.16182,0.16926,0.1767,0.19065,0.19158,0.21576,0.24459,0.26226,0.29016,0.32364,0.269,0.3297,0.41842,0.44486200000000004,0.49203399999999997,0.532768,0.573925,0.6025200000000001,0.6297330000000001,0.707016,0.9157,1.07388,1.24784,1.35648,1.431962,1.69966,1.9974,2.06792,2.2648,2.651386,2.4671331739999998,2.642688237
Burma,net consumption,Asia & Oceania,1.11,1.022,1.1019999999999999,1.1390000000000002,1.246,1.5139999999999998,1.538,1.571,1.4170000000000003,1.5460000000000003,1.7339999999999998,1.6140000000000003,1.771,2.0549999999999997,2.207,2.349,2.407,2.7190000000000003,2.7590000000000003,2.9190000000000005,3.3034399999999993,3.0389800000000005,3.40558,3.8009999999999997,3.6939400000000004,3.4548600000000005,4.1536599999999995,4.2382,4.50894,4.83952,5.0353200000000005,6.9475999999999996,7.96104,9.53356,11.082320000000001,13.14574,12.775620000000002,16.18499,17.988794,19.052680000000002,18.63952487,17.314601986
Burundi,net consumption,Africa,0.04179,0.044719999999999996,0.04071999999999999,0.05925,0.07313000000000001,0.08571,0.08366,0.10035,0.10872,0.10879,0.11737,0.12716,0.12158000000000001,0.1373,0.15088000000000001,0.13967,0.14474,0.14753,0.13223000000000001,0.12707000000000002,0.13,0.12600000000000003,0.133,0.125,0.128,0.13999999999999999,0.144,0.165,0.157,0.18,0.2039,0.206,0.209,0.23699999999999996,0.23800000000000002,0.23600000000000002,0.24400000000000002,0.339,0.32887800000000006,0.415946,0.410520748,0.41798197200000003
Cabo Verde,net consumption,Africa,0.013949999999999999,0.013949999999999999,0.019530000000000002,0.02046,0.02418,0.02511,0.02604,0.02883,0.030690000000000002,0.030690000000000002,0.03627,0.0465,0.05301,0.061380000000000004,0.06974999999999999,0.07254,0.07719000000000001,0.08184,0.08928,0.1023,0.11720000000000001,0.11771999999999999,0.14026000000000002,0.151376,0.16541499999999998,0.181117,0.18193099999999998,0.18524000000000002,0.19344,0.20394,0.24057,0.25697,0.26174,0.28286,0.30523,0.29660000000000003,0.30519999999999997,0.32873399999999997,0.332959,0.3358,0.303796156,0.32146346699999995
Cambodia,net consumption,Asia & Oceania,0.08928,0.09579,0.09951,0.09393000000000001,0.08928,0.09858,0.10695,0.11624999999999999,0.12555,0.13299,0.14229,0.14694000000000002,0.15438000000000002,0.15996,0.16647,0.20599999999999996,0.238,0.25,0.27499999999999997,0.28400000000000003,0.38217999999999996,0.38652,0.59712,0.6348600000000001,0.60492,0.8317,1.0213400000000001,1.29056,1.50598,1.71842,2.1906,2.5222,3.21566,3.50742,4.0699000000000005,4.99694,6.0735,6.87582,8.44057,10.15534,10.955186041000001,10.907084769999999
Cameroon,net consumption,Africa,1.325,1.737,2.009,1.9520000000000002,1.9719999999999998,2.1929999999999996,2.044,2.082,2.253,2.3640000000000003,2.323,2.334,2.3179999999999996,2.324,2.231,2.203,2.341,2.483,2.505,2.645,2.6827199999999998,2.59298,2.49792,2.76264,3.2695999999999996,3.25408,3.7607399999999997,4.5598,4.94168,5.03024,5.1236,4.64025,4.8346,5.031930000000001,5.27783,6.04655,5.245570000000001,6.061043,6.4962,6.509973999999999,6.336891475,6.0843463889999985
Canada,net consumption,North America,309.479618632,319.06001126499996,319.166289863,331.646434106,356.70817337599993,372.374748792,389.39213818999997,405.23806481500003,422.2426890230001,434.63236703,433.827893,439.87071,444.724821,455.06080299999996,459.642142,466.69888100000003,473.652624,482.48739900000004,479.436168,490.033692,505.2255239999999,505.6040539999999,513.1846400000001,528.233048,534.064122,560.3786200000001,550.193991,560.760367,559.070389,535.105882,530.1036039999999,548.2191529999999,539.1860829999999,560.7445710000001,559.3483080000001,543.4060760000001,548.451276,547.0346749999999,554.0621157,547.2500179,533.5070587000001,554.7443873999998
Cayman Islands,net consumption,Central & South America,0.05394,0.061380000000000004,0.07254,0.08277,0.09672,0.10881,0.11997000000000001,0.14043,0.15531,0.17019,0.19716,0.2046,0.20553,0.22041,0.24924000000000002,0.25947000000000003,0.26133,0.26226,0.26411999999999997,0.2883,0.39809,0.42471,0.4481,0.463,0.48563,0.394,0.486,0.546,0.5289999999999999,0.5484,0.5405,0.5409999999999999,0.5479999999999999,0.5559999999999999,0.568,0.586,0.612,0.634,0.628,0.6669999999999999,0.6576622999999999,0.702392687
Central African Republic,net consumption,Africa,0.062310000000000004,0.061380000000000004,0.0651,0.06324,0.06695999999999999,0.07161,0.08649,0.08463,0.08556,0.08556,0.08649,0.08556,0.08742,0.08835,0.09207,0.093,0.09486,0.09672,0.09486,0.09579,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1284,0.1594,0.1594,0.1604,0.1414,0.141,0.14093999999999998,0.141,0.141064
Chad,net consumption,Africa,0.04092,0.04464,0.04557,0.04464,0.04557,0.04743,0.060450000000000004,0.07347000000000001,0.07067999999999999,0.07161,0.07905000000000001,0.07626000000000001,0.07347000000000001,0.07533000000000001,0.07440000000000001,0.07812000000000001,0.07905000000000001,0.07905000000000001,0.07998,0.07998,0.07934999999999999,0.087,0.09351000000000001,0.09995,0.10646,0.11197,0.1129,0.11197,0.13049999999999998,0.15736,0.172,0.17337999999999998,0.19465,0.22161000000000003,0.23504000000000003,0.2384,0.25056,0.25451,0.26119000000000003,0.26326,0.24858118800000004,0.26358118399999997
Chile,net consumption,Central & South America,10.41,10.75,10.551,10.771,11.620000000000001,12.076,12.926,13.257000000000001,14.277000000000001,15.501000000000001,18.341,18.224,19.224,19.666,21.258,25.635,28.059,30.687000000000005,31.643,34.86,38.14374,39.37382,41.3827,44.06254,47.22554,48.37876,50.92482,53.01022,53.5916,53.457440000000005,54.331829,59.492264999999996,62.728116,65.047152,64.915875,68.65495700000001,73.85214300000001,73.04019,77.0223832,77.6898273,77.7520941,81.4005473
China,net consumption,Asia & Oceania,261.49199999999996,268.754,285.85799999999995,307.60600000000005,330.13000000000005,351.318,385.299,425.19199999999995,466.47900000000004,498.70799999999997,549.3419999999999,597.204,666.1419999999999,738.8069999999999,818.5349999999999,876.577,920.966,983.4949999999999,1017.4569999999999,1076.7669999999998,1178.0330000000001,1314.7829999999997,1459.429,1676.829,1955.3899999999999,2196.172,2523.947,2891.5420000000004,3070.8530000000005,3290.1029999999996,3716.5536199999997,4182.66356,4439.877579999999,4846.2460200000005,5078.717559999999,5273.535637,5585.625151,6057.175784,6450.426757,6802.698896,7115.077185000001,7805.656340407
Colombia,net consumption,Central & South America,16.385,16.697,22.257,22.931,25.177000000000003,25.439,28.302000000000003,23.559,25.427,27.079,28.171000000000006,28.782000000000004,26.624000000000002,29.652,32.025999999999996,33.461,34.127,34.837,34.123000000000005,32.625,32.5857,33.87712,34.72602,35.41568,37.43962,37.78607999999999,40.48912,42.211510000000004,42.76446,46.390600000000006,46.691979999999994,49.95478000000001,52.10862,65.57438,62.40820299999999,68.683379,67.882255,71.97656900000001,71.13234659999999,74.18347189999999,72.04354330000001,76.1928486
